facility,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank,hub_score,authority_score,community_id,community_size
IND734203AAA,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.0008051529790660224,0.00030380238533854177,-0.0,4.45847009632065e-22,6,3
IND000000AFG,0.0012077294685990338,0.0,0.0012077294685990338,0.0,0.0,0.00011808275676922355,2.3418482450171256e-20,-0.0,0,43
IND673027AAB,0.0018115942028985505,0.0006038647342995169,0.0012077294685990338,7.297459024767576e-07,0.0006038647342995169,0.00016827498266588903,1.301570908919558e-05,-7.850436339377156e-22,0,43
IND673632AAA,0.003623188405797101,0.0012077294685990338,0.0024154589371980675,0.0024373513142723706,0.0014492753623188406,0.0007539955718055651,0.0005596270454378561,2.2346763386853445e-19,0,43
IND000000AFJ,0.0018115942028985505,0.0006038647342995169,0.0012077294685990338,7.297459024767576e-07,0.0010869565217391304,0.0003762842002237285,7.838644887912563e-08,9.738951845506712e-11,73,17
IND695121AAA,0.0018115942028985505,0.0006038647342995169,0.0012077294685990338,0.00020414641621787293,0.0009057971014492754,0.0002781587049593894,7.839680793507346e-08,8.422631966759132e-09,73,17
IND695572AAB,0.0030193236714975845,0.0018115942028985505,0.0012077294685990338,0.00020524103507158807,0.0018115942028985507,0.0006068865641434695,9.063697113671334e-10,7.369415269976853e-07,73,17
IND000000AFR,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,0.000540287537993645,-0.0,0,43
IND000000AFT,0.00785024154589372,0.0030193236714975845,0.004830917874396135,0.0048455127924456705,0.1341306473881196,0.0011319477202067732,0.003555943571457831,0.004073698330795431,7,58
IND400072AAB,0.013285024154589372,0.006642512077294686,0.006642512077294686,0.005096989588073895,0.13856101577466354,0.0017838841219070566,0.007377146795591544,0.007137248609694667,7,58
IND400701AAA,0.0018115942028985505,0.0006038647342995169,0.0012077294685990338,0.0008111125706029161,0.11183245679341947,0.00023841143728896275,4.111136197166757e-05,0.0003820865012395605,7,58
IND400706AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.11181571039377984,0.00023841143728896275,0.0004284117261547961,0.0003820865012395605,7,58
IND410206AAA,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.00040245486521593173,0.11184920820995534,0.0003397798005502703,0.0004284117261547961,0.00038650392129735623,7,58
IND410206AAB,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.11181571039377984,0.00023841143728896275,0.0004284117261547961,0.0003820865012395605,7,58
IND410209AAA,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.11198337021608955,0.00023841143728896275,-0.0,0.0003820865012395605,7,58
IND410210AAA,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.11198337021608955,0.00023841143728896275,-0.0,0.0003820865012395605,7,58
IND110014AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12114350465676743,0.0018380208978761084,0.0007350185195316686,1.4663885994458553e-19,1,122
IND110020AAB,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1257079653214919,0.000290013884141703,0.0015094624455961572,0.0020843420892159284,1,122
IND110037AAM,0.02717391304347826,0.012681159420289854,0.014492753623188404,0.04133064983259041,0.1546293878669832,0.00485465162710009,0.01939823267459353,0.01435323608019457,1,122
IND110035AAC,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1257079653214919,0.000290013884141703,0.0015094624455961572,0.0020843420892159284,1,122
IND201301AAD,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1257079653214919,0.000290013884141703,0.0015094624455961572,0.0020843420892159284,1,122
IND202001AAB,0.004830917874396135,0.0024154589371980675,0.0024154589371980675,0.003163931509524555,0.12596243488692,0.0010436854594111278,0.0024413441631086124,0.00225210657948874,1,122
IND226004AAC,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.12589177264279336,0.000290013884141703,-0.0,0.0020843420892159284,1,122
IND250002AAC,0.0012077294685990338,0.0012077294685990338,0.0,0.0,0.13214077248604103,0.0005356483949449971,-0.0,0.0030091450520014526,15,71
IND282001AAA,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.0,0.1328184478850341,0.000623680029462956,0.005123958352640491,0.002740471801111614,1,122
IND282001AAC,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1257503054916911,0.000290013884141703,0.0036144959070443334,0.0020843420892159284,1,122
IND781018AAB,0.01932367149758454,0.010265700483091786,0.009057971014492754,0.044541680004588025,0.14727915463701416,0.004665064412784759,0.004045421014298532,0.00461219350115551,82,67
IND811399AAA,0.0018115942028985505,0.0006038647342995169,0.0012077294685990338,0.00026524352315761686,0.12572913184200402,0.000290013884141703,0.001012821826637425,0.0020843420892159284,1,122
IND110039AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12088478452479551,0.0002830620348555984,0.0007435162956648131,0.00040676371255205857,1,122
IND110078AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.11895894758796588,0.0004625779173538622,0.000519247336084868,0.0003928167944205718,1,122
IND110044AAB,0.004830917874396135,0.0012077294685990338,0.003623188405797101,0.0026061658663786604,0.10961616471075483,0.00038523499361622763,0.009236429696600731,0.0003039902094996509,1,122
IND110005AAA,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.12098478296029085,0.0002565553871994692,-0.0,0.00039735827071215267,1,122
IND110046AAA,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.12098478296029085,0.0002565553871994692,-0.0,0.00039735827071215267,1,122
IND110077AAA,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,0.000519247336084868,-0.0,1,122
IND110083AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.12088478452479551,0.0002830620348555984,0.0007435162956648131,0.00040676371255205857,1,122
IND110085AAA,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.12106310293631305,0.0002830620348555984,-0.0,0.00040676371255205857,1,122
IND110087AAA,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.12106310293631305,0.0002830620348555984,-0.0,0.00040676371255205857,1,122
