facility,community_id,community_size
IND605601AAA,2,7
IND606201AAC,2,7
IND607106AAA,2,7
IND636102AAA,2,7
IND607801AAA,2,7
IND606003AAA,2,7
IND606105AAA,2,7
IND501359AAG,3,5
IND000000ACK,3,5
IND501359AAF,3,5
IND000000ABG,3,5
IND000000ACN,3,5
IND600044AAC,4,4
IND000000ADV,4,4
IND600008AAA,4,4
IND600016AAB,4,4
IND110037AAB,5,3
IND000000AEM,5,3
IND110064AAB,5,3
IND734203AAA,6,3
IND000000AFF,6,3
IND734214AAB,6,3
IND400064AAB,7,58
IND421302AAH,7,58
IND410206AAB,7,58
IND444303AAA,7,58
IND400705AAA,7,58
IND421601AAB,7,58
IND410206AAA,7,58
IND422605AAA,7,58
IND400072AAA,7,58
IND410210AAA,7,58
IND400037AAA,7,58
IND421302AAS,7,58
IND400015AAA,7,58
IND410209AAA,7,58
IND400016AAA,7,58
IND421302AAF,7,58
IND400706AAA,7,58
IND421301AAA,7,58
IND413709AAA,7,58
IND400072AAD,7,58
IND443301AAA,7,58
IND400015AAB,7,58
IND400011AAA,7,58
IND423701AAB,7,58
IND401209AAA,7,58
IND400102AAB,7,58
IND444203AAA,7,58
IND401104AAB,7,58
IND400701AAB,7,58
IND396191AAB,7,58
IND000000AAZ,7,58
IND423109AAA,7,58
IND400612AAA,7,58
IND000000AFT,7,58
IND421401AAC,7,58
IND400072AAB,7,58
IND444005AAB,7,58
IND401104AAA,7,58
IND400072AAJ,7,58
IND421302AAG,7,58
IND444602AAA,7,58
IND401209AAB,7,58
IND422011AAD,7,58
IND421502AAA,7,58
IND410401AAA,7,58
IND401208AAA,7,58
IND443201AAA,7,58
IND421302AAR,7,58
IND400052AAA,7,58
IND400016AAB,7,58
IND400102AAC,7,58
IND400072AAC,7,58
IND421004AAA,7,58
IND423601AAA,7,58
IND421302AAN,7,58
IND422103AAC,7,58
IND400078AAB,7,58
IND400701AAA,7,58
IND335701AAA,8,21
IND125001AAA,8,21
IND125033AAA,8,21
IND335804AAD,8,21
IND335513AAA,8,21
IND335523AAB,8,21
IND125111AAA,8,21
IND125005AAA,8,21
IND335501AAA,8,21
IND335524AAA,8,21
IND335803AAA,8,21
IND125047AAB,8,21
IND335703AAA,8,21
IND335001AAA,8,21
IND331701AAA,8,21
IND125050AAA,8,21
IND125121AAA,8,21
IND335051AAA,8,21
IND125051AAA,8,21
IND124112AAA,8,21
IND125104AAA,8,21
IND131028AAA,9,2
IND131021AAA,9,2
IND174101AAB,10,83
IND176110AAB,10,83
IND148102AAA,10,83
IND152026AAA,10,83
IND160002AAD,10,83
IND147001AAB,10,83
IND152116AAA,10,83
IND174103AAA,10,83
IND173212AAA,10,83
IND181201AAB,10,83
IND140603AAA,10,83
IND142401AAA,10,83
IND140501AAA,10,83
IND144601AAA,10,83
IND140401AAA,10,83
IND151505AAA,10,83
IND147201AAA,10,83
IND147105AAA,10,83
IND175101AAA,10,83
IND184104AAA,10,83
IND141115AAA,10,83
IND140001AAA,10,83
IND152101AAA,10,83
IND135001AAA,10,83
IND181152AAB,10,83
IND181152AAA,10,83
IND144514AAA,10,83
IND144001AAA,10,83
IND147001AAD,10,83
IND177033AAA,10,83
IND144001AAB,10,83
IND134109AAA,10,83
IND177001AAA,10,83
IND147101AAA,10,83
IND142026AAA,10,83
IND000000ACA,10,83
IND152107AAA,10,83
IND175018AAA,10,83
IND144401AAB,10,83
IND142001AAB,10,83
IND143001AAA,10,83
IND144040AAA,10,83
IND148001AAA,10,83
IND134102AAA,10,83
IND147301AAA,10,83
IND133004AAA,10,83
IND141109AAA,10,83
IND152123AAA,10,83
IND140301AAA,10,83
IND141003AAB,10,83
IND148028AAA,10,83
IND160055AAA,10,83
IND148101AAA,10,83
IND174021AAA,10,83
IND140901AAA,10,83
IND148024AAB,10,83
IND151103AAA,10,83
IND134203AAA,10,83
IND173025AAA,10,83
IND144527AAA,10,83
IND184121AAA,10,83
IND140118AAA,10,83
IND174001AAA,10,83
IND176048AAA,10,83
IND141010AAA,10,83
IND176215AAA,10,83
IND173220AAA,10,83
IND160102AAC,10,83
IND176061AAA,10,83
IND151302AAA,10,83
IND144001AAC,10,83
IND148023AAA,10,83
IND160002AAC,10,83
IND175001AAA,10,83
IND151506AAA,10,83
IND160102AAD,10,83
IND174307AAA,10,83
IND151001AAA,10,83
IND175015AAA,10,83
IND176041AAA,10,83
IND152024AAA,10,83
IND140406AAA,10,83
IND160003AAA,10,83
IND176310AAA,11,4
IND176303AAA,11,4
IND145001AAA,11,4
IND176201AAA,11,4
IND176001AAB,12,4
IND176001AAA,12,4
IND177203AAA,12,4
IND177101AAA,12,4
IND224001AAA,13,3
IND224122AAA,13,3
IND224141AAB,13,3
IND226024AAA,14,3
IND226016AAA,14,3
IND226004AAA,14,3
IND132103AAA,15,71
IND244221AAA,15,71
IND244301AAA,15,71
IND263401AAA,15,71
IND132039AAA,15,71
IND263002AAA,15,71
IND251001AAA,15,71
IND251201AAA,15,71
IND243503AAB,15,71
IND244501AAA,15,71
IND131028AAB,15,71
IND248122AAB,15,71
IND000000ACT,15,71
IND248001AAD,15,71
IND246761AAA,15,71
IND244412AAA,15,71
IND247667AAA,15,71
IND246444AAB,15,71
IND250002AAA,15,71
IND243301AAB,15,71
IND263139AAA,15,71
IND244715AAA,15,71
IND132103AAB,15,71
IND246701AAA,15,71
IND262405AAA,15,71
IND136118AAA,15,71
IND126112AAA,15,71
IND126116AAA,15,71
IND131028AAE,15,71
IND251309AAB,15,71
IND262122AAB,15,71
IND244235AAA,15,71
IND126102AAA,15,71
IND246763AAA,15,71
IND201204AAA,15,71
IND246149AAA,15,71
IND263601AAA,15,71
IND132001AAA,15,71
IND124507AAA,15,71
IND249407AAA,15,71
IND250221AAA,15,71
IND246001AAA,15,71
IND136128AAA,15,71
IND244901AAB,15,71
IND262501AAA,15,71
IND247667AAB,15,71
IND136027AAA,15,71
IND244001AAA,15,71
IND243001AAA,15,71
IND243201AAA,15,71
IND263645AAA,15,71
IND246725AAB,15,71
IND248001AAA,15,71
IND247554AAA,15,71
IND246424AAA,15,71
IND244601AAB,15,71
IND244921AAB,15,71
IND131301AAA,15,71
IND244713AAA,15,71
IND250609AAA,15,71
IND124001AAB,15,71
IND248197AAA,15,71
IND249201AAA,15,71
IND263153AAB,15,71
IND262001AAA,15,71
IND247776AAA,15,71
IND246174AAA,15,71
IND250611AAA,15,71
IND250002AAC,15,71
IND244901AAC,15,71
IND243002AAA,15,71
IND261201AAB,16,5
IND261001AAA,16,5
IND262802AAA,16,5
IND262723AAB,16,5
IND262701AAA,16,5
IND271201AAA,17,3
IND271210AAA,17,3
IND271001AAA,17,3
IND272207AAB,18,2
IND272153AAC,18,2
IND274001AAA,19,17
IND277303AAC,19,17
IND272175AAA,19,17
IND274402AAA,19,17
IND273303AAA,19,17
IND273155AAA,19,17
IND272001AAA,19,17
IND273304AAA,19,17
IND272155AAA,19,17
IND221706AAA,19,17
IND274304AAA,19,17
IND277211AAA,19,17
IND273014AAB,19,17
IND274301AAB,19,17
IND274509AAB,19,17
IND277201AAA,19,17
IND274304AAB,19,17
IND303603AAB,20,20
IND302033AAB,20,20
IND303901AAA,20,20
IND304001AAA,20,20
IND303008AAB,20,20
IND303303AAA,20,20
IND322241AAA,20,20
IND322201AAA,20,20
IND303503AAA,20,20
IND302006AAC,20,20
IND322230AAA,20,20
IND302006AAA,20,20
IND302026AAA,20,20
IND302020AAA,20,20
IND302023AAA,20,20
IND302004AAA,20,20
IND303301AAB,20,20
IND303338AAB,20,20
IND302014AAB,20,20
IND322001AAC,20,20
IND331001A1C,21,2
IND331022A1B,21,2
IND312403AAA,22,73
IND342601AAA,22,73
IND311301AAA,22,73
IND344022AAB,22,73
IND334803AAA,22,73
IND303106AAA,22,73
IND306401AAB,22,73
IND341306AAA,22,73
IND458001AAB,22,73
IND303702AAB,22,73
IND333504AAA,22,73
IND306304AAB,22,73
IND333042AAA,22,73
IND305624AAA,22,73
IND305601AAC,22,73
IND458990AAA,22,73
IND333502AAA,22,73
IND306902AAA,22,73
IND332709AAA,22,73
IND332404AAA,22,73
IND343029AAB,22,73
IND332001AAB,22,73
IND313001AAB,22,73
IND334001AAB,22,73
IND341030AAA,22,73
IND342902A1B,22,73
IND343001AAA,22,73
IND342005AAD,22,73
IND341303AAA,22,73
IND341001AAC,22,73
IND307001AAA,22,73
IND341510AAB,22,73
IND321606AAA,22,73
IND306001AAA,22,73
IND305001AAC,22,73
IND321001AAA,22,73
IND312601AAA,22,73
IND321001AAB,22,73
IND327001AAB,22,73
IND321408AAB,22,73
IND342301AAA,22,73
IND306116AAA,22,73
IND305802AAA,22,73
IND331023AAA,22,73
IND331507AAA,22,73
IND341505AAA,22,73
IND458664AAA,22,73
IND312001AAA,22,73
IND331304AAA,22,73
IND333031AAA,22,73
IND345021AAA,22,73
IND303108AAB,22,73
IND301001AAB,22,73
IND332713AAA,22,73
IND342602AAC,22,73
IND332715AAB,22,73
IND344001AAA,22,73
IND345001AAA,22,73
IND341503AAB,22,73
IND305404AAA,22,73
IND333001AAA,22,73
IND311001AAA,22,73
IND313324AAA,22,73
IND302014AAA,22,73
IND341512AAA,22,73
IND342902AAA,22,73
IND305901AAA,22,73
IND333028AAA,22,73
IND334001AAC,22,73
IND303002AAA,22,73
IND311302AAA,22,73
IND321401AAB,22,73
IND312605AAB,22,73
IND360050AAA,23,3
IND360003AAA,23,3
IND360311AAA,23,3
IND362720AAA,24,13
IND360490AAA,24,13
IND360410AAA,24,13
IND362150AAA,24,13
IND360575AAA,24,13
IND362265AAA,24,13
IND362220AAA,24,13
IND362001AAA,24,13
IND360510AAB,24,13
IND360370AAA,24,13
IND360530AAB,24,13
IND362560AAA,24,13
IND362225AAA,24,13
IND361335AAA,25,7
IND363621AAB,25,7
IND363641AAA,25,7
IND360002AAB,25,7
IND361315AAA,25,7
IND361001AAA,25,7
IND361305AAC,25,7
IND364710AAA,26,4
IND363421AAB,26,4
IND363001AAA,26,4
IND363520AAC,26,4
IND364001AAA,27,2
IND364270AAA,27,2
IND364004AAB,28,49
IND364290AAA,28,49
IND390022AAA,28,49
IND391110AAD,28,49
IND370201AAA,28,49
IND388121AAA,28,49
IND370110AAA,28,49
IND457226AAA,28,49
IND380006AAB,28,49
IND383255AAB,28,49
IND390020AAA,28,49
IND390018AAB,28,49
IND384170AAA,28,49
IND388320AAA,28,49
IND383001AAA,28,49
IND384265AAB,28,49
IND385320AAA,28,49
IND365560AAA,28,49
IND380005AAA,28,49
IND382430AAB,28,49
IND382715AAA,28,49
IND454001AAA,28,49
IND363330AAB,28,49
IND380054AAA,28,49
IND389230AAB,28,49
IND385340AAB,28,49
IND382721AAA,28,49
IND383315AAC,28,49
IND457001AAA,28,49
IND370001AAA,28,49
IND389151AAA,28,49
IND387001AAA,28,49
IND380021AAA,28,49
IND363310AAB,28,49
IND365560AAB,28,49
IND385535AAA,28,49
IND380006AAA,28,49
IND380015AAB,28,49
IND382421AAA,28,49
IND384355AAB,28,49
IND457661AAA,28,49
IND387620AAB,28,49
IND389001AAA,28,49
IND382345AAA,28,49
IND384205AAA,28,49
IND388620AAB,28,49
IND370615AAB,28,49
IND388220AAA,28,49
IND385001AAA,28,49
IND395001AAA,29,9
IND396321AAA,29,9
IND396580AAB,29,9
IND395006AAA,29,9
IND395004AAB,29,9
IND395009AAA,29,9
IND395023AAD,29,9
IND396445AAA,29,9
IND396001AAA,29,9
IND400072AAI,30,2
IND000000AFS,30,2
IND401602AAA,31,2
IND401501AAA,31,2
IND402301AAA,32,3
IND402109AAA,32,3
IND402107AAA,32,3
IND403401AAA,33,6
IND403726AAB,33,6
IND403002AAA,33,6
IND403601AAA,33,6
IND403507AAB,33,6
IND403507AAA,33,6
IND416606AAA,34,40
IND403726AAA,34,40
IND671315AAA,34,40
IND574216AAA,34,40
IND574211AAA,34,40
IND576101AAA,34,40
IND575014AAA,34,40
IND580028AAA,34,40
IND582209AAA,34,40
IND587103AAB,34,40
IND591302AAB,34,40
IND581343AAC,34,40
IND591307AAC,34,40
IND403702AAA,34,40
IND580002AAA,34,40
IND575004AAB,34,40
IND581334AAA,34,40
IND574117AAA,34,40
IND581325AAA,34,40
IND000000ACO,34,40
IND581320AAA,34,40
IND581400AAB,34,40
IND416602AAC,34,40
IND582101AAB,34,40
IND576201AAA,34,40
IND671323AAD,34,40
IND574202AAA,34,40
IND574104AAA,34,40
IND581303AAA,34,40
IND574227AAA,34,40
IND590016AAA,34,40
IND591126AAA,34,40
IND574239AAA,34,40
IND416510AAA,34,40
IND574221AAA,34,40
IND591123AAC,34,40
IND580030AAA,34,40
IND591115AAB,34,40
IND581314AAA,34,40
IND591102AAA,34,40
IND412105AAC,35,2
IND411017AAA,35,2
IND411057AAF,36,2
IND411033AAB,36,2
IND431136AAC,37,64
IND431001AAB,37,64
IND396191AAC,37,64
IND415124AAA,37,64
IND431001AAA,37,64
IND413002AAA,37,64
IND414502AAA,37,64
IND412210AAC,37,64
IND431122AAA,37,64
IND413401AAA,37,64
IND415409AAB,37,64
IND431603AAA,37,64
IND431131AAB,37,64
IND431112AAB,37,64
IND586101AAA,37,64
IND431708AAA,37,64
IND431717AAA,37,64
IND395010AAB,37,64
IND413307AAC,37,64
IND413307AAB,37,64
IND396232AAA,37,64
IND410503AAA,37,64
IND412803AAB,37,64
IND413517AAA,37,64
IND431515AAA,37,64
IND410505AAB,37,64
IND415301AAB,37,64
IND431203AAA,37,64
IND415709AAA,37,64
IND396105AAA,37,64
IND411033AAA,37,64
IND416012AAA,37,64
IND413304AAA,37,64
IND431517AAB,37,64
IND394221AAA,37,64
IND431127AAA,37,64
IND414203AAB,37,64
IND416404AAA,37,64
IND411014AAA,37,64
IND411021AAA,37,64
IND414001AAA,37,64
IND395023AAA,37,64
IND411036AAA,37,64
IND415003AAA,37,64
IND410501AAF,37,64
IND431107AAB,37,64
IND416122AAA,37,64
IND591304AAA,37,64
IND413531AAA,37,64
IND396210AAA,37,64
IND421802AAA,37,64
IND000000AAL,37,64
IND413501AAA,37,64
IND591237AAB,37,64
IND411043AAA,37,64
IND415612AAA,37,64
IND415408AAC,37,64
IND586101AAB,37,64
IND591201AAA,37,64
IND415605AAA,37,64
IND431514AAA,37,64
IND411048AAA,37,64
IND431401AAA,37,64
IND414302AAB,37,64
IND450331AAA,38,19
IND425412AAA,38,19
IND424201AAA,38,19
IND431103AAA,38,19
IND425405AAA,38,19
IND423105AAA,38,19
IND452001AAC,38,19
IND425201AAA,38,19
IND424304AAC,38,19
IND423106AAA,38,19
IND425409AAA,38,19
IND451666AAA,38,19
IND425109AAA,38,19
IND424006AAA,38,19
IND425508AAB,38,19
IND423301AAB,38,19
